alert_id,check_id,severity,status,assigned_to,opened_at,resolved_at,resolution_notes
920,920,MEDIUM,RESOLVED,21,2023-09-01 06:37:00,2023-09-16 06:37:00,Account temporarily blocked
921,921,MEDIUM,CLOSED,143,2024-09-06 00:15:00,2024-09-15 00:15:00,Customer documents verified
922,922,LOW,OPEN,38,2023-02-20 05:09:00,,False positive
923,923,CRITICAL,RESOLVED,13,2024-11-14 18:53:00,2024-11-25 18:53:00,False positive
924,924,MEDIUM,RESOLVED,180,2024-03-02 05:10:00,2024-03-22 05:10:00,Account temporarily blocked
925,925,MEDIUM,CLOSED,10,2024-08-09 17:11:00,2024-09-02 17:11:00,False positive
926,926,LOW,IN_PROGRESS,18,2025-02-25 09:20:00,,Risk accepted
927,927,LOW,IN_PROGRESS,178,2025-05-13 17:04:00,,Escalated to compliance team
928,928,LOW,RESOLVED,15,2023-12-04 16:26:00,2023-12-27 16:26:00,False positive
929,929,MEDIUM,RESOLVED,177,2024-08-08 23:40:00,2024-08-11 23:40:00,Account temporarily blocked
930,930,LOW,RESOLVED,135,2025-03-18 22:18:00,2025-04-15 22:18:00,Account temporarily blocked
931,931,MEDIUM,OPEN,134,2024-09-30 11:59:00,,Additional KYC completed
932,932,MEDIUM,CLOSED,182,2024-10-09 15:31:00,2024-11-07 15:31:00,Escalated to compliance team
933,933,MEDIUM,OPEN,31,2023-07-18 00:07:00,,Additional KYC completed
934,934,MEDIUM,RESOLVED,86,2025-05-18 06:51:00,2025-06-01 06:51:00,Escalated to compliance team
935,935,LOW,OPEN,73,2024-07-27 20:13:00,,Escalated to compliance team
936,936,MEDIUM,IN_PROGRESS,197,2025-03-20 02:19:00,,False positive
937,937,HIGH,IN_PROGRESS,158,2023-04-27 21:21:00,,False positive
938,938,LOW,IN_PROGRESS,173,2025-05-02 05:12:00,,Risk accepted
939,939,LOW,OPEN,118,2024-04-30 01:41:00,,Account temporarily blocked
940,940,HIGH,CLOSED,134,2023-12-10 14:50:00,2024-01-09 14:50:00,Escalated to compliance team
941,941,MEDIUM,IN_PROGRESS,54,2024-08-01 23:43:00,,Account temporarily blocked
942,942,LOW,CLOSED,39,2024-12-02 10:51:00,2024-12-28 10:51:00,Escalated to compliance team
943,943,MEDIUM,CLOSED,43,2025-05-10 00:21:00,2025-05-31 00:21:00,Account temporarily blocked
944,944,HIGH,RESOLVED,79,2024-09-12 12:11:00,2024-10-10 12:11:00,Additional KYC completed
945,945,MEDIUM,OPEN,128,2025-05-28 10:45:00,,Customer documents verified
946,946,MEDIUM,CLOSED,45,2024-01-16 14:53:00,2024-01-23 14:53:00,False positive
947,947,LOW,IN_PROGRESS,130,2024-01-19 01:49:00,,False positive
948,948,LOW,RESOLVED,124,2025-03-29 15:57:00,2025-04-05 15:57:00,Additional KYC completed
949,949,HIGH,RESOLVED,26,2025-06-13 16:19:00,2025-06-18 16:19:00,Account temporarily blocked
950,950,LOW,RESOLVED,134,2024-11-23 04:13:00,2024-12-08 04:13:00,False positive
951,951,HIGH,OPEN,23,2023-01-05 09:59:00,,Escalated to compliance team
952,952,HIGH,RESOLVED,6,2024-04-23 01:06:00,2024-05-15 01:06:00,Account temporarily blocked
953,953,LOW,CLOSED,74,2025-02-15 09:40:00,2025-02-26 09:40:00,Escalated to compliance team
954,954,LOW,RESOLVED,41,2024-06-29 10:49:00,2024-07-03 10:49:00,Escalated to compliance team
955,955,LOW,RESOLVED,90,2023-04-28 00:39:00,2023-05-02 00:39:00,Account temporarily blocked
956,956,LOW,CLOSED,63,2023-11-23 08:09:00,2023-12-19 08:09:00,Customer documents verified
957,957,MEDIUM,CLOSED,34,2023-03-14 09:39:00,2023-04-01 09:39:00,False positive
958,958,LOW,OPEN,110,2024-04-27 21:03:00,,Risk accepted
959,959,HIGH,CLOSED,180,2023-07-03 22:38:00,2023-07-24 22:38:00,Risk accepted
960,960,LOW,IN_PROGRESS,195,2024-09-23 11:19:00,,Additional KYC completed
961,961,HIGH,CLOSED,146,2025-04-08 17:05:00,2025-05-03 17:05:00,Customer documents verified
962,962,LOW,OPEN,165,2023-04-06 22:29:00,,Additional KYC completed
963,963,LOW,IN_PROGRESS,158,2025-02-23 14:30:00,,Escalated to compliance team
964,964,LOW,RESOLVED,84,2024-01-08 12:11:00,2024-01-30 12:11:00,Risk accepted
965,965,MEDIUM,RESOLVED,44,2024-05-14 00:04:00,2024-05-26 00:04:00,Escalated to compliance team
966,966,LOW,RESOLVED,183,2025-02-25 11:38:00,2025-03-14 11:38:00,False positive
967,967,LOW,OPEN,119,2023-11-30 17:41:00,,Risk accepted
968,968,LOW,RESOLVED,124,2024-08-27 13:15:00,2024-09-14 13:15:00,Risk accepted
969,969,MEDIUM,CLOSED,112,2023-03-09 10:13:00,2023-03-28 10:13:00,Account temporarily blocked
970,970,MEDIUM,RESOLVED,20,2025-03-17 10:34:00,2025-03-23 10:34:00,Additional KYC completed
971,971,MEDIUM,RESOLVED,84,2024-12-29 18:53:00,2025-01-17 18:53:00,Account temporarily blocked
972,972,MEDIUM,IN_PROGRESS,154,2023-04-10 14:11:00,,False positive
973,973,MEDIUM,CLOSED,170,2024-12-02 19:49:00,2024-12-13 19:49:00,False positive
974,974,MEDIUM,OPEN,194,2023-04-03 06:52:00,,Additional KYC completed
975,975,LOW,OPEN,137,2025-04-09 00:48:00,,Escalated to compliance team
976,976,MEDIUM,RESOLVED,82,2024-02-04 19:36:00,2024-02-11 19:36:00,Escalated to compliance team
977,977,MEDIUM,CLOSED,89,2024-08-06 21:19:00,2024-09-05 21:19:00,False positive
978,978,HIGH,CLOSED,76,2024-08-19 00:39:00,2024-09-01 00:39:00,False positive
979,979,MEDIUM,OPEN,92,2024-01-14 17:03:00,,False positive
980,980,MEDIUM,OPEN,152,2025-05-31 09:55:00,,Risk accepted
981,981,LOW,IN_PROGRESS,140,2024-10-02 10:45:00,,Customer documents verified
982,982,MEDIUM,OPEN,93,2024-11-09 05:30:00,,Risk accepted
983,983,LOW,RESOLVED,166,2023-06-07 09:55:00,2023-06-12 09:55:00,False positive
984,984,CRITICAL,RESOLVED,35,2023-05-28 23:56:00,2023-06-11 23:56:00,False positive
985,985,HIGH,RESOLVED,179,2023-05-21 20:51:00,2023-06-05 20:51:00,Account temporarily blocked
986,986,MEDIUM,RESOLVED,116,2024-03-11 19:11:00,2024-03-25 19:11:00,Risk accepted
987,987,MEDIUM,RESOLVED,188,2023-12-30 07:11:00,2023-12-31 07:11:00,Customer documents verified
988,988,MEDIUM,RESOLVED,9,2024-12-30 16:17:00,2025-01-17 16:17:00,False positive
989,989,MEDIUM,IN_PROGRESS,177,2024-08-04 15:45:00,,False positive
990,990,CRITICAL,RESOLVED,200,2023-05-26 23:46:00,2023-06-23 23:46:00,Escalated to compliance team
991,991,LOW,RESOLVED,121,2024-04-21 16:05:00,2024-05-11 16:05:00,Additional KYC completed
992,992,MEDIUM,OPEN,149,2025-01-29 21:42:00,,Escalated to compliance team
993,993,HIGH,IN_PROGRESS,121,2024-09-19 01:57:00,,Risk accepted
994,994,LOW,RESOLVED,76,2024-06-08 15:36:00,2024-06-22 15:36:00,Escalated to compliance team
995,995,LOW,CLOSED,145,2023-06-21 01:44:00,2023-07-15 01:44:00,Escalated to compliance team
996,996,LOW,RESOLVED,75,2023-03-04 20:30:00,2023-03-23 20:30:00,Additional KYC completed
997,997,MEDIUM,RESOLVED,72,2024-10-01 00:18:00,2024-10-06 00:18:00,Escalated to compliance team
998,998,LOW,IN_PROGRESS,190,2023-05-16 19:17:00,,False positive
999,999,MEDIUM,RESOLVED,95,2024-09-10 05:58:00,2024-09-15 05:58:00,Customer documents verified
1000,1000,MEDIUM,RESOLVED,9,2023-09-25 22:15:00,2023-10-21 22:15:00,Escalated to compliance team
1001,1001,HIGH,CLOSED,193,2023-03-28 04:38:00,2023-04-02 04:38:00,Risk accepted
1002,1002,MEDIUM,RESOLVED,54,2025-02-27 12:15:00,2025-03-23 12:15:00,Account temporarily blocked
1003,1003,HIGH,RESOLVED,14,2025-01-21 11:03:00,2025-02-15 11:03:00,Customer documents verified
1004,1004,HIGH,IN_PROGRESS,193,2024-04-20 12:30:00,,Account temporarily blocked
1005,1005,LOW,RESOLVED,136,2023-08-28 12:43:00,2023-09-13 12:43:00,Risk accepted
1006,1006,MEDIUM,RESOLVED,136,2023-01-13 09:59:00,2023-01-26 09:59:00,Additional KYC completed
1007,1007,CRITICAL,RESOLVED,111,2023-02-12 03:58:00,2023-02-24 03:58:00,Account temporarily blocked
1008,1008,HIGH,IN_PROGRESS,66,2024-10-29 08:21:00,,Additional KYC completed
1009,1009,LOW,RESOLVED,173,2024-08-21 12:29:00,2024-09-14 12:29:00,Account temporarily blocked
1010,1010,MEDIUM,IN_PROGRESS,47,2025-02-27 06:33:00,,Escalated to compliance team
1011,1011,LOW,OPEN,106,2024-07-14 00:43:00,,False positive
1012,1012,HIGH,RESOLVED,65,2024-06-21 03:43:00,2024-06-29 03:43:00,Customer documents verified
1013,1013,CRITICAL,OPEN,169,2023-02-04 00:39:00,,Customer documents verified
1014,1014,LOW,RESOLVED,155,2024-09-05 20:07:00,2024-09-09 20:07:00,Customer documents verified
1015,1015,HIGH,CLOSED,48,2024-01-20 21:48:00,2024-02-08 21:48:00,False positive
1016,1016,MEDIUM,IN_PROGRESS,20,2024-12-13 05:16:00,,Additional KYC completed
1017,1017,MEDIUM,RESOLVED,198,2024-04-09 08:49:00,2024-05-08 08:49:00,Escalated to compliance team
1018,1018,HIGH,OPEN,98,2023-09-21 05:49:00,,Risk accepted
1019,1019,LOW,CLOSED,18,2023-12-07 01:16:00,2023-12-16 01:16:00,Risk accepted
1020,1020,MEDIUM,OPEN,37,2023-07-25 19:25:00,,Account temporarily blocked
1021,1021,CRITICAL,RESOLVED,184,2025-02-26 13:13:00,2025-03-02 13:13:00,Escalated to compliance team
1022,1022,HIGH,OPEN,199,2023-04-16 01:04:00,,Risk accepted
1023,1023,CRITICAL,RESOLVED,171,2023-01-20 15:09:00,2023-01-21 15:09:00,Risk accepted
1024,1024,LOW,IN_PROGRESS,1,2023-09-30 04:44:00,,Account temporarily blocked
1025,1025,HIGH,RESOLVED,18,2024-12-25 15:30:00,2025-01-22 15:30:00,Account temporarily blocked
1026,1026,HIGH,CLOSED,32,2023-08-20 00:24:00,2023-09-16 00:24:00,Account temporarily blocked
1027,1027,LOW,RESOLVED,166,2024-07-02 11:21:00,2024-07-15 11:21:00,False positive
1028,1028,HIGH,CLOSED,195,2024-01-10 17:54:00,2024-01-13 17:54:00,Escalated to compliance team
1029,1029,MEDIUM,RESOLVED,77,2024-10-25 06:11:00,2024-11-07 06:11:00,Additional KYC completed
1030,1030,LOW,RESOLVED,162,2024-02-04 03:40:00,2024-02-20 03:40:00,Risk accepted
1031,1031,LOW,OPEN,152,2025-01-22 06:08:00,,Customer documents verified
1032,1032,LOW,RESOLVED,137,2024-05-15 12:04:00,2024-06-05 12:04:00,Risk accepted
1033,1033,HIGH,OPEN,11,2023-01-17 01:21:00,,Risk accepted
1034,1034,MEDIUM,RESOLVED,174,2023-05-02 06:51:00,2023-05-19 06:51:00,Account temporarily blocked
1035,1035,LOW,IN_PROGRESS,189,2023-06-02 23:37:00,,Customer documents verified
1036,1036,MEDIUM,RESOLVED,63,2024-05-15 20:01:00,2024-06-14 20:01:00,Additional KYC completed
1037,1037,LOW,OPEN,79,2024-10-26 04:00:00,,False positive
1038,1038,HIGH,CLOSED,28,2024-04-12 19:10:00,2024-04-15 19:10:00,False positive
1039,1039,HIGH,RESOLVED,110,2024-05-24 19:51:00,2024-05-27 19:51:00,Escalated to compliance team
1040,1040,CRITICAL,RESOLVED,148,2025-04-10 23:43:00,2025-04-14 23:43:00,Account temporarily blocked
1041,1041,HIGH,CLOSED,152,2023-05-21 10:53:00,2023-05-28 10:53:00,Customer documents verified
1042,1042,HIGH,IN_PROGRESS,44,2023-12-10 02:07:00,,Additional KYC completed
1043,1043,MEDIUM,RESOLVED,35,2024-01-14 17:10:00,2024-02-13 17:10:00,False positive
1044,1044,LOW,IN_PROGRESS,125,2025-03-21 20:39:00,,False positive
1045,1045,MEDIUM,CLOSED,73,2023-01-07 00:11:00,2023-01-30 00:11:00,Risk accepted
1046,1046,LOW,OPEN,70,2024-12-11 15:44:00,,Account temporarily blocked
1047,1047,MEDIUM,CLOSED,153,2024-04-06 13:15:00,2024-04-26 13:15:00,Customer documents verified
1048,1048,HIGH,CLOSED,78,2025-01-04 15:39:00,2025-01-25 15:39:00,Escalated to compliance team
1049,1049,LOW,IN_PROGRESS,136,2024-03-04 00:35:00,,False positive
1050,1050,MEDIUM,RESOLVED,119,2024-09-25 11:55:00,2024-10-13 11:55:00,Additional KYC completed
1051,1051,LOW,OPEN,39,2024-11-06 06:17:00,,Additional KYC completed
1052,1052,MEDIUM,OPEN,12,2025-05-14 15:31:00,,False positive
1053,1053,LOW,IN_PROGRESS,158,2024-10-22 11:18:00,,Risk accepted
1054,1054,MEDIUM,OPEN,41,2023-02-14 03:47:00,,False positive
1055,1055,LOW,OPEN,114,2024-05-11 16:07:00,,Account temporarily blocked
1056,1056,MEDIUM,OPEN,84,2024-08-16 10:26:00,,Customer documents verified
1057,1057,LOW,IN_PROGRESS,106,2025-03-08 03:20:00,,Customer documents verified
1058,1058,LOW,RESOLVED,112,2024-01-20 07:04:00,2024-02-05 07:04:00,Customer documents verified
1059,1059,LOW,OPEN,118,2023-08-10 19:29:00,,Additional KYC completed
1060,1060,LOW,CLOSED,9,2023-07-18 20:22:00,2023-07-25 20:22:00,Additional KYC completed
1061,1061,HIGH,OPEN,118,2024-08-05 01:17:00,,Risk accepted
1062,1062,LOW,CLOSED,164,2023-06-25 10:14:00,2023-07-15 10:14:00,Account temporarily blocked
1063,1063,MEDIUM,CLOSED,134,2023-06-24 18:35:00,2023-06-27 18:35:00,Risk accepted
1064,1064,LOW,RESOLVED,187,2025-06-01 06:37:00,2025-06-16 06:37:00,Risk accepted
1065,1065,MEDIUM,IN_PROGRESS,152,2025-01-23 07:15:00,,Customer documents verified
1066,1066,CRITICAL,CLOSED,188,2024-08-10 00:26:00,2024-08-12 00:26:00,Account temporarily blocked
1067,1067,HIGH,IN_PROGRESS,179,2023-02-04 13:33:00,,False positive
1068,1068,HIGH,OPEN,178,2024-04-08 15:15:00,,Additional KYC completed
1069,1069,LOW,IN_PROGRESS,24,2024-02-21 06:08:00,,False positive
1070,1070,MEDIUM,OPEN,147,2024-05-06 21:19:00,,Additional KYC completed
1071,1071,HIGH,RESOLVED,104,2024-08-20 00:29:00,2024-08-25 00:29:00,Customer documents verified
1072,1072,LOW,RESOLVED,161,2025-03-19 11:40:00,2025-04-09 11:40:00,False positive
1073,1073,MEDIUM,RESOLVED,70,2024-01-30 22:21:00,2024-02-09 22:21:00,Additional KYC completed
1074,1074,MEDIUM,RESOLVED,159,2024-09-19 17:36:00,2024-10-15 17:36:00,Escalated to compliance team
1075,1075,LOW,CLOSED,14,2025-01-23 01:32:00,2025-02-14 01:32:00,False positive
1076,1076,LOW,RESOLVED,166,2024-01-28 11:29:00,2024-02-09 11:29:00,Account temporarily blocked
1077,1077,LOW,RESOLVED,86,2024-12-22 02:35:00,2024-12-29 02:35:00,Customer documents verified
1078,1078,MEDIUM,RESOLVED,180,2024-07-06 03:41:00,2024-07-31 03:41:00,Customer documents verified
1079,1079,LOW,IN_PROGRESS,69,2025-02-10 23:48:00,,Account temporarily blocked
1080,1080,LOW,OPEN,116,2024-11-27 13:17:00,,Risk accepted
1081,1081,HIGH,OPEN,174,2024-05-28 16:53:00,,Account temporarily blocked
1082,1082,MEDIUM,IN_PROGRESS,178,2023-10-27 14:39:00,,False positive
1083,1083,HIGH,OPEN,74,2023-07-12 14:05:00,,False positive
1084,1084,LOW,OPEN,39,2023-04-22 05:17:00,,Customer documents verified
1085,1085,CRITICAL,IN_PROGRESS,139,2024-06-17 20:01:00,,Customer documents verified
1086,1086,LOW,RESOLVED,49,2024-04-30 11:26:00,2024-05-21 11:26:00,False positive
1087,1087,LOW,CLOSED,149,2023-01-23 07:53:00,2023-02-13 07:53:00,Escalated to compliance team
1088,1088,MEDIUM,IN_PROGRESS,179,2024-11-02 20:50:00,,Account temporarily blocked
1089,1089,LOW,RESOLVED,79,2025-05-12 17:28:00,2025-05-31 17:28:00,Customer documents verified
1090,1090,HIGH,RESOLVED,13,2025-03-19 08:14:00,2025-03-29 08:14:00,Customer documents verified
1091,1091,CRITICAL,CLOSED,183,2023-12-28 09:29:00,2024-01-17 09:29:00,Account temporarily blocked
1092,1092,CRITICAL,CLOSED,40,2023-10-20 05:11:00,2023-11-12 05:11:00,Customer documents verified
1093,1093,LOW,CLOSED,67,2023-09-01 03:02:00,2023-09-20 03:02:00,Escalated to compliance team
1094,1094,LOW,RESOLVED,89,2023-07-08 06:35:00,2023-07-30 06:35:00,Customer documents verified
1095,1095,LOW,CLOSED,7,2024-01-17 14:34:00,2024-02-04 14:34:00,Risk accepted
1096,1096,LOW,CLOSED,190,2024-05-26 04:29:00,2024-05-31 04:29:00,Account temporarily blocked
1097,1097,HIGH,RESOLVED,194,2024-06-03 10:41:00,2024-06-19 10:41:00,Account temporarily blocked
1098,1098,CRITICAL,RESOLVED,87,2024-11-13 04:51:00,2024-12-13 04:51:00,Additional KYC completed
1099,1099,MEDIUM,CLOSED,30,2023-04-26 23:30:00,2023-05-01 23:30:00,Escalated to compliance team
1100,1100,LOW,CLOSED,84,2023-01-26 12:39:00,2023-02-10 12:39:00,False positive
1101,1101,HIGH,RESOLVED,197,2024-09-14 20:12:00,2024-09-22 20:12:00,Escalated to compliance team
1102,1102,MEDIUM,RESOLVED,23,2023-07-20 00:05:00,2023-08-04 00:05:00,Account temporarily blocked
1103,1103,MEDIUM,IN_PROGRESS,15,2024-02-08 06:31:00,,Additional KYC completed
1104,1104,LOW,RESOLVED,96,2024-01-05 12:09:00,2024-01-19 12:09:00,False positive
1105,1105,MEDIUM,IN_PROGRESS,144,2023-10-19 11:22:00,,False positive
1106,1106,HIGH,RESOLVED,74,2023-08-09 23:56:00,2023-08-23 23:56:00,Customer documents verified
1107,1107,MEDIUM,RESOLVED,151,2025-04-05 23:57:00,2025-05-04 23:57:00,Account temporarily blocked
1108,1108,CRITICAL,IN_PROGRESS,135,2023-03-30 04:13:00,,Escalated to compliance team
1109,1109,LOW,IN_PROGRESS,164,2023-03-09 18:48:00,,Escalated to compliance team
1110,1110,HIGH,RESOLVED,36,2024-02-29 05:35:00,2024-03-19 05:35:00,Customer documents verified
1111,1111,HIGH,RESOLVED,78,2023-07-10 12:18:00,2023-07-12 12:18:00,Account temporarily blocked
1112,1112,LOW,RESOLVED,1,2023-11-08 15:35:00,2023-11-16 15:35:00,Customer documents verified
1113,1113,LOW,CLOSED,171,2023-09-26 09:40:00,2023-10-12 09:40:00,Escalated to compliance team
1114,1114,LOW,CLOSED,31,2024-03-03 05:31:00,2024-03-24 05:31:00,Escalated to compliance team
1115,1115,MEDIUM,RESOLVED,112,2024-05-19 02:38:00,2024-06-07 02:38:00,Escalated to compliance team
1116,1116,LOW,CLOSED,132,2024-10-05 21:30:00,2024-11-01 21:30:00,Additional KYC completed
1117,1117,MEDIUM,IN_PROGRESS,38,2024-08-12 00:54:00,,Escalated to compliance team
1118,1118,LOW,IN_PROGRESS,93,2024-04-17 22:08:00,,Risk accepted
1119,1119,MEDIUM,IN_PROGRESS,20,2024-10-13 11:03:00,,Account temporarily blocked
1120,1120,HIGH,RESOLVED,140,2023-07-18 20:11:00,2023-08-07 20:11:00,Escalated to compliance team
1121,1121,LOW,CLOSED,176,2025-06-12 10:52:00,2025-07-08 10:52:00,Additional KYC completed
1122,1122,HIGH,RESOLVED,4,2024-12-05 11:06:00,2024-12-17 11:06:00,Customer documents verified
1123,1123,LOW,RESOLVED,42,2024-06-14 09:23:00,2024-06-28 09:23:00,False positive
1124,1124,LOW,IN_PROGRESS,144,2023-08-12 04:32:00,,Account temporarily blocked
1125,1125,HIGH,RESOLVED,30,2024-12-07 16:54:00,2024-12-25 16:54:00,Risk accepted
1126,1126,LOW,CLOSED,90,2024-04-16 02:07:00,2024-05-16 02:07:00,Escalated to compliance team
1127,1127,CRITICAL,CLOSED,134,2024-12-08 11:08:00,2025-01-06 11:08:00,Escalated to compliance team
1128,1128,HIGH,OPEN,57,2023-06-26 22:19:00,,Customer documents verified
1129,1129,LOW,RESOLVED,34,2025-05-27 22:09:00,2025-06-06 22:09:00,False positive
1130,1130,LOW,RESOLVED,124,2024-03-11 22:48:00,2024-03-14 22:48:00,Risk accepted
1131,1131,MEDIUM,OPEN,152,2023-02-13 06:06:00,,False positive
1132,1132,LOW,IN_PROGRESS,171,2024-04-25 03:58:00,,False positive
1133,1133,MEDIUM,OPEN,151,2025-02-11 03:50:00,,Customer documents verified
1134,1134,LOW,OPEN,192,2023-07-09 21:22:00,,Escalated to compliance team
1135,1135,MEDIUM,OPEN,187,2024-08-16 11:22:00,,Account temporarily blocked
1136,1136,HIGH,OPEN,196,2023-09-05 16:36:00,,False positive
1137,1137,LOW,OPEN,194,2024-06-25 06:45:00,,Account temporarily blocked
1138,1138,MEDIUM,CLOSED,182,2023-01-05 23:06:00,2023-02-04 23:06:00,Risk accepted
1139,1139,MEDIUM,OPEN,28,2024-01-11 22:37:00,,Customer documents verified
1140,1140,LOW,RESOLVED,29,2025-05-04 11:24:00,2025-05-21 11:24:00,Escalated to compliance team
1141,1141,HIGH,RESOLVED,181,2023-05-07 14:07:00,2023-05-23 14:07:00,Escalated to compliance team
1142,1142,MEDIUM,OPEN,99,2024-07-24 23:02:00,,Escalated to compliance team
1143,1143,CRITICAL,IN_PROGRESS,114,2024-04-12 19:47:00,,Customer documents verified
1144,1144,LOW,CLOSED,18,2024-07-21 13:18:00,2024-08-04 13:18:00,Risk accepted
1145,1145,MEDIUM,OPEN,173,2024-11-26 11:11:00,,False positive
1146,1146,LOW,RESOLVED,102,2024-02-10 14:33:00,2024-02-13 14:33:00,Risk accepted
1147,1147,CRITICAL,RESOLVED,17,2024-12-12 18:06:00,2025-01-10 18:06:00,Escalated to compliance team
1148,1148,LOW,RESOLVED,109,2023-07-23 10:12:00,2023-08-05 10:12:00,Additional KYC completed
1149,1149,MEDIUM,RESOLVED,194,2024-05-26 08:48:00,2024-06-14 08:48:00,Additional KYC completed
1150,1150,CRITICAL,RESOLVED,131,2024-02-14 11:30:00,2024-02-27 11:30:00,Escalated to compliance team
1151,1151,MEDIUM,OPEN,60,2023-05-31 14:06:00,,Additional KYC completed
1152,1152,LOW,RESOLVED,174,2023-05-18 00:06:00,2023-06-14 00:06:00,False positive
1153,1153,LOW,RESOLVED,160,2023-07-03 12:38:00,2023-07-08 12:38:00,False positive
1154,1154,MEDIUM,RESOLVED,120,2025-02-17 02:42:00,2025-03-14 02:42:00,Customer documents verified
1155,1155,MEDIUM,RESOLVED,139,2023-10-28 21:31:00,2023-11-06 21:31:00,Account temporarily blocked
1156,1156,LOW,CLOSED,81,2023-01-19 01:27:00,2023-01-23 01:27:00,Risk accepted
1157,1157,MEDIUM,OPEN,200,2024-03-29 14:02:00,,Escalated to compliance team
1158,1158,HIGH,RESOLVED,125,2024-12-24 05:31:00,2025-01-03 05:31:00,False positive
1159,1159,MEDIUM,RESOLVED,121,2024-08-05 21:31:00,2024-08-27 21:31:00,Risk accepted
1160,1160,LOW,OPEN,152,2024-07-29 05:32:00,,Risk accepted
1161,1161,LOW,RESOLVED,8,2024-09-23 21:22:00,2024-10-03 21:22:00,Account temporarily blocked
1162,1162,HIGH,IN_PROGRESS,150,2023-02-16 04:53:00,,False positive
1163,1163,MEDIUM,IN_PROGRESS,92,2025-02-22 20:21:00,,Risk accepted
1164,1164,LOW,IN_PROGRESS,80,2023-12-26 01:42:00,,Account temporarily blocked
1165,1165,LOW,CLOSED,6,2023-03-28 22:04:00,2023-04-01 22:04:00,Account temporarily blocked
1166,1166,MEDIUM,RESOLVED,108,2023-11-30 01:29:00,2023-12-14 01:29:00,Escalated to compliance team
1167,1167,LOW,RESOLVED,100,2023-01-21 22:30:00,2023-02-01 22:30:00,Escalated to compliance team
1168,1168,MEDIUM,RESOLVED,87,2024-08-09 03:51:00,2024-09-01 03:51:00,Risk accepted
1169,1169,LOW,OPEN,112,2024-05-29 21:21:00,,Customer documents verified
1170,1170,HIGH,CLOSED,138,2024-05-23 20:54:00,2024-05-26 20:54:00,Customer documents verified
1171,1171,MEDIUM,IN_PROGRESS,58,2023-10-22 08:03:00,,Account temporarily blocked
1172,1172,MEDIUM,CLOSED,70,2025-01-30 02:45:00,2025-02-03 02:45:00,False positive
1173,1173,HIGH,RESOLVED,167,2024-08-03 16:30:00,2024-08-15 16:30:00,Escalated to compliance team
1174,1174,LOW,RESOLVED,103,2024-05-31 09:27:00,2024-06-11 09:27:00,Escalated to compliance team
1175,1175,LOW,RESOLVED,5,2024-10-01 16:29:00,2024-10-19 16:29:00,Additional KYC completed
1176,1176,MEDIUM,OPEN,170,2024-12-21 16:55:00,,Additional KYC completed
1177,1177,MEDIUM,RESOLVED,197,2024-04-23 08:59:00,2024-05-19 08:59:00,Risk accepted
1178,1178,LOW,OPEN,119,2024-08-02 23:40:00,,Customer documents verified
1179,1179,HIGH,RESOLVED,106,2023-09-04 04:47:00,2023-09-14 04:47:00,Escalated to compliance team
1180,1180,MEDIUM,IN_PROGRESS,74,2025-05-30 02:40:00,,Additional KYC completed
1181,1181,LOW,RESOLVED,39,2023-06-14 08:43:00,2023-06-27 08:43:00,Customer documents verified
1182,1182,MEDIUM,CLOSED,112,2023-01-29 07:51:00,2023-02-13 07:51:00,Risk accepted
1183,1183,LOW,OPEN,67,2024-10-24 01:12:00,,Escalated to compliance team
1184,1184,CRITICAL,RESOLVED,125,2024-11-05 17:11:00,2024-11-07 17:11:00,False positive
1185,1185,LOW,RESOLVED,105,2023-02-26 02:20:00,2023-03-26 02:20:00,Escalated to compliance team
1186,1186,CRITICAL,OPEN,186,2024-11-18 21:56:00,,Customer documents verified
1187,1187,LOW,RESOLVED,171,2023-08-30 03:36:00,2023-09-29 03:36:00,Account temporarily blocked
1188,1188,LOW,RESOLVED,32,2025-03-04 16:16:00,2025-03-07 16:16:00,Escalated to compliance team
1189,1189,HIGH,IN_PROGRESS,61,2023-12-04 18:47:00,,Risk accepted
1190,1190,CRITICAL,OPEN,113,2023-08-12 04:06:00,,Risk accepted
1191,1191,MEDIUM,RESOLVED,29,2023-09-18 18:03:00,2023-09-30 18:03:00,Escalated to compliance team
1192,1192,HIGH,RESOLVED,38,2024-07-12 13:30:00,2024-07-21 13:30:00,Escalated to compliance team
1193,1193,MEDIUM,CLOSED,156,2024-05-01 22:23:00,2024-05-02 22:23:00,False positive
1194,1194,MEDIUM,RESOLVED,172,2025-05-11 23:42:00,2025-05-13 23:42:00,Customer documents verified
1195,1195,CRITICAL,IN_PROGRESS,93,2023-09-17 17:24:00,,Additional KYC completed
1196,1196,MEDIUM,IN_PROGRESS,3,2023-05-05 17:55:00,,Risk accepted
1197,1197,LOW,CLOSED,54,2023-09-19 09:05:00,2023-10-14 09:05:00,Customer documents verified
1198,1198,MEDIUM,CLOSED,9,2024-03-25 20:20:00,2024-04-19 20:20:00,Escalated to compliance team
1199,1199,MEDIUM,RESOLVED,106,2025-06-06 02:52:00,2025-06-22 02:52:00,Escalated to compliance team
1200,1200,HIGH,CLOSED,179,2025-01-04 13:56:00,2025-01-08 13:56:00,Escalated to compliance team
1201,1201,HIGH,RESOLVED,189,2024-06-02 02:22:00,2024-06-26 02:22:00,Escalated to compliance team
1202,1202,MEDIUM,RESOLVED,162,2024-04-09 22:01:00,2024-04-30 22:01:00,Risk accepted
